timestamp,index,name,utilization_gpu_pct,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2026/09/08 07:18:49.104, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:18:51.158, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 39
2026/09/08 07:18:53.249, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 75.13, 40
2026/09/08 07:18:55.341, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.77, 39
2026/09/08 07:18:57.394, 0, Tesla V100-SXM2-32GB, 62, 3309, 32768, 75.13, 40
2026/09/08 07:18:59.484, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.28, 39
2026/09/08 07:19:01.555, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 146.39, 39
2026/09/08 07:19:03.601, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 38
2026/09/08 07:19:05.655, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 39
2026/09/08 07:19:07.744, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 38
2026/09/08 07:19:09.816, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 38
2026/09/08 07:19:11.908, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 38
2026/09/08 07:19:13.981, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.28, 38
2026/09/08 07:19:16.048, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 38
2026/09/08 07:19:18.141, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 38
2026/09/08 07:19:20.212, 0, Tesla V100-SXM2-32GB, 81, 3309, 32768, 67.72, 39
2026/09/08 07:19:22.300, 0, Tesla V100-SXM2-32GB, 4, 3309, 32768, 67.23, 38
2026/09/08 07:19:24.368, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.72, 38
2026/09/08 07:19:26.422, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 38
2026/09/08 07:19:28.492, 0, Tesla V100-SXM2-32GB, 5, 3309, 32768, 67.23, 38
2026/09/08 07:19:30.580, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 38
2026/09/08 07:19:32.668, 0, Tesla V100-SXM2-32GB, 47, 3309, 32768, 63.33, 37
2026/09/08 07:19:34.740, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 67.23, 37
2026/09/08 07:19:36.807, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
2026/09/08 07:19:38.871, 0, Tesla V100-SXM2-32GB, 6, 3309, 32768, 66.74, 37
